FragmentLength,Start,End
100,119527841,119527941
100,119527852,119527952
100,119527873,119527973
100,119527896,119527996
100,119527904,119528004
100,119527911,119528011
100,119527912,119528012
100,119527931,119528031
100,119527940,119528040
100,119527964,119528064
100,119527968,119528068
100,119527969,119528069
100,119527986,119528086
100,119527997,119528097
100,119528011,119528111
100,119528017,119528117
100,119528023,119528123
100,119528025,119528125
100,119528039,119528139
100,119528044,119528144
100,119528086,119528186
100,119528091,119528191
100,119528123,119528223
100,119528166,119528266
100,119528209,119528309
100,119528222,119528322
100,119528246,119528346
100,119528247,119528347
100,119528454,119528554
100,119528462,119528562
100,119528475,119528575
100,119528481,119528581
100,119528499,119528599
100,119528509,119528609
100,119528515,119528615
100,119528584,119528684
100,119528648,119528748
100,119528651,119528751
100,119528657,119528757
100,119528660,119528760
100,119528709,119528809
100,119528716,119528816
100,119528718,119528818
100,119528724,119528824
100,119528730,119528830
100,119528759,119528859
100,119528774,119528874
100,119528801,119528901
100,119528839,119528939
100,119528846,119528946
100,119528885,119528985
100,119528903,119529003
100,119528905,119529005
100,119528907,119529007
100,119528910,119529010
100,119528915,119529015
100,119528923,119529023
100,119528948,119529048
100,119529000,119529100
100,119529003,119529103
100,119529009,119529109
100,119529027,119529127
100,119529055,119529155
100,119529071,119529171
100,119529083,119529183
100,119529091,119529191
100,119529097,119529197
100,119529101,119529201
100,119529104,119529204
100,119529108,119529208
100,119529128,119529228
100,119529132,119529232
100,119529141,119529241
100,119529171,119529271
100,119529172,119529272
100,119529196,119529296
100,119529219,119529319
100,119529219,119529319
100,119529256,119529356
100,119529257,119529357
100,119529268,119529368
100,119529288,119529388
100,119529319,119529419
100,119529329,119529429
100,119529347,119529447
100,119529351,119529451
100,119529361,119529461
100,119529379,119529479
100,119529404,119529504
100,119529416,119529516
100,119529418,119529518
100,119529428,119529528
100,119529429,119529529
100,119529439,119529539
100,119529458,119529558
100,119529468,119529568
100,119529473,119529573
100,119529480,119529580
100,119529482,119529582
100,119529484,119529584
100,119529484,119529584
100,119529485,119529585
100,119529486,119529586
100,119529491,119529591
100,119529497,119529597
100,119529500,119529600
100,119529504,119529604
100,119529509,119529609
100,119529509,119529609
100,119529520,119529620
100,119529525,119529625
100,119529526,119529626
100,119529536,119529636
100,119529553,119529653
100,119529558,119529658
100,119529568,119529668
100,119529570,119529670
100,119529574,119529674
100,119529575,119529675
100,119529576,119529676
100,119529582,119529682
100,119529584,119529684
100,119529590,119529690
100,119529595,119529695
100,119529595,119529695
100,119529613,119529713
101,119529614,119529715
100,119529620,119529720
100,119529627,119529727
100,119529650,119529750
100,119529654,119529754
100,119529654,119529754
100,119529656,119529756
100,119529667,119529767
100,119529667,119529767
100,119529667,119529767
100,119529669,119529769
100,119529672,119529772
100,119529676,119529776
100,119529685,119529785
100,119529685,119529785
100,119529694,119529794
100,119529698,119529798
100,119529717,119529817
100,119529724,119529824
100,119529729,119529829
100,119529738,119529838
100,119529755,119529855
100,119529758,119529858
100,119529759,119529859
100,119529760,119529860
100,119529766,119529866
100,119529769,119529869
100,119529773,119529873
100,119529787,119529887
100,119529790,119529890
100,119529790,119529890
100,119529799,119529899
100,119529799,119529899
100,119529799,119529899
100,119529801,119529901
100,119529801,119529901
100,119529804,119529904
100,119529810,119529910
100,119529813,119529913
100,119529820,119529920
100,119529823,119529923
100,119529833,119529933
100,119529834,119529934
100,119529835,119529935
100,119529849,119529949
100,119529849,119529949
100,119529850,119529950
100,119529852,119529952
100,119529856,119529956
100,119529857,119529957
100,119529864,119529964
100,119529867,119529967
100,119529872,119529972
100,119529874,119529974
100,119529877,119529977
100,119529878,119529978
100,119529879,119529979
100,119529880,119529980
100,119529881,119529981
100,119529886,119529986
100,119529886,119529986
100,119529889,119529989
100,119529892,119529992
100,119529894,119529994
100,119529897,119529997
100,119529903,119530003
100,119529906,119530006
100,119529907,119530007
100,119529910,119530010
100,119529920,119530020
100,119529933,119530033
100,119529935,119530035
100,119529955,119530055
100,119529958,119530058
100,119529963,119530063
100,119529968,119530068
100,119529975,119530075
100,119529977,119530077
100,119529978,119530078
100,119529981,119530081
100,119529982,119530082
100,119529985,119530085
100,119529992,119530092
100,119530011,119530111
100,119530022,119530122
100,119530049,119530149
100,119530056,119530156
100,119530061,119530161
100,119530068,119530168
100,119530072,119530172
100,119530074,119530174
100,119530078,119530178
100,119530100,119530200
100,119530102,119530202
100,119530140,119530240
100,119530147,119530247
100,119530171,119530271
100,119530178,119530278
100,119530189,119530289
100,119530196,119530296
100,119530210,119530310
100,119530231,119530331
100,119530241,119530341
100,119530252,119530352
100,119530266,119530366
100,119530268,119530368
100,119530285,119530385
100,119530285,119530385
100,119530288,119530388
100,119530295,119530395
100,119530296,119530396
100,119530303,119530403
100,119530383,119530483
100,119530410,119530510
100,119530424,119530524
100,119530430,119530530
100,119530438,119530538
100,119530442,119530542
100,119530463,119530563
100,119530470,119530570
100,119530515,119530615
100,119530516,119530616
100,119530550,119530650
100,119530554,119530654
100,119530557,119530657
100,119530561,119530661
100,119530561,119530661
100,119530562,119530662
100,119530581,119530681
100,119530596,119530696
100,119530598,119530698
100,119530599,119530699
100,119530616,119530716
100,119530624,119530724
100,119530632,119530732
100,119530636,119530736
100,119530644,119530744
100,119530651,119530751
100,119530653,119530753
100,119530654,119530754
100,119530659,119530759
100,119530662,119530762
100,119530666,119530766
100,119530667,119530767
100,119530674,119530774
100,119530676,119530776
100,119530679,119530779
100,119530684,119530784
100,119530698,119530798
100,119530705,119530805
100,119530733,119530833
100,119530733,119530833
100,119530736,119530836
100,119530736,119530836
100,119530738,119530838
100,119530739,119530839
100,119530739,119530839
100,119530748,119530848
100,119530761,119530861
100,119530762,119530862
100,119530762,119530862
100,119530774,119530874
100,119530776,119530876
100,119530790,119530890
100,119530792,119530892
100,119530793,119530893
100,119530794,119530894
100,119530812,119530912
100,119530812,119530912
100,119530844,119530944
100,119530852,119530952
100,119530857,119530957
100,119530858,119530958
99,119530878,119530977
100,119530905,119531005
100,119530923,119531023
100,119530930,119531030
100,119530932,119531032
100,119530940,119531040
100,119530942,119531042
100,119530943,119531043
100,119530963,119531063
100,119530964,119531064
100,119530975,119531075
100,119530985,119531085
100,119530999,119531099
100,119531000,119531100
100,119531002,119531102
100,119531015,119531115
100,119531036,119531136
100,119531061,119531161
100,119531071,119531171
100,119531092,119531192
100,119531099,119531199
100,119531108,119531208
100,119531117,119531217
100,119531123,119531223
100,119531125,119531225
100,119531138,119531238
100,119531143,119531243
100,119531149,119531249
100,119531156,119531256
100,119531158,119531258
100,119531160,119531260
100,119531164,119531264
100,119531164,119531264
