FragmentLength,Start,End
100,1000,1100
100,1050,1150
100,1200,1300
100,1251,1351
100,1400,1500
100,1452,1552
100,1600,1700
100,1653,1753
100,1800,1900
100,1854,1954
100,2000,2100
100,2055,2155
100,2200,2300
100,2256,2356
100,2400,2500
100,2457,2557
100,2600,2700
100,2658,2758
100,2800,2900
100,2859,2959
100,3000,3100
100,3060,3160
100,3200,3300
100,3261,3361
100,3400,3500
100,3462,3562
100,3600,3700
100,3663,3763
100,3800,3900
100,3864,3964
100,4000,4100
100,4065,4165
100,4200,4300
100,4266,4366
100,4400,4500
100,4467,4567
100,4600,4700
100,4668,4768
100,4800,4900
100,4869,4969
100,5000,5100
100,5070,5170
100,5200,5300
100,5271,5371
100,5400,5500
100,5472,5572
100,5600,5700
100,5673,5773
100,5800,5900
100,5874,5974
100,6000,6100
100,6075,6175
100,6200,6300
100,6276,6376
100,6400,6500
100,6477,6577
100,6600,6700
100,6678,6778
100,6800,6900
100,6879,6979
100,7000,7100
100,7080,7180
100,7200,7300
100,7281,7381
100,7400,7500
100,7482,7582
100,7600,7700
100,7683,7783
100,7800,7900
100,7884,7984
100,8000,8100
100,8085,8185
100,8200,8300
100,8286,8386
100,8400,8500
100,8487,8587
100,8600,8700
100,8688,8788
100,8800,8900
100,8889,8989
100,9000,9100
100,9090,9190
100,9200,9300
100,9291,9391
100,9400,9500
100,9492,9592
100,9600,9700
100,9693,9793
100,9800,9900
100,9894,9994
100,10000,10100
100,10095,10195
100,10200,10300
100,10296,10396
100,10400,10500
100,10497,10597
100,10600,10700
100,10698,10798
100,10800,10900
100,10899,10999
100,11000,11100
100,11100,11200
100,11200,11300
100,11301,11401
100,11400,11500
100,11502,11602
100,11600,11700
100,11703,11803
100,11800,11900
100,11904,12004
100,12000,12100
100,12105,12205
100,12200,12300
100,12306,12406
100,12400,12500
100,12507,12607
100,12600,12700
100,12708,12808
100,12800,12900
100,12909,13009
100,13000,13100
100,13110,13210
100,13200,13300
100,13311,13411
100,13400,13500
100,13512,13612
100,13600,13700
100,13713,13813
100,13800,13900
100,13914,14014
100,14000,14100
100,14115,14215
100,14200,14300
100,14316,14416
100,14400,14500
100,14517,14617
100,14600,14700
100,14718,14818
100,14800,14900
100,14919,15019
100,15000,15100
100,15120,15220
100,15200,15300
100,15321,15421
100,15400,15500
100,15522,15622
100,15600,15700
100,15723,15823
100,15800,15900
100,15924,16024
100,16000,16100
100,16125,16225
100,16200,16300
100,16326,16426
100,16400,16500
100,16527,16627
100,16600,16700
100,16728,16828
100,16800,16900
100,16929,17029
100,17000,17100
100,17130,17230
100,17200,17300
100,17331,17431
100,17400,17500
100,17532,17632
100,17600,17700
100,17733,17833
100,17800,17900
100,17934,18034
100,18000,18100
100,18135,18235
100,18200,18300
100,18336,18436
100,18400,18500
100,18537,18637
100,18600,18700
100,18738,18838
100,18800,18900
100,18939,19039
100,19000,19100
100,19140,19240
100,19200,19300
100,19341,19441
100,19400,19500
100,19542,19642
100,19600,19700
100,19743,19843
100,19800,19900
100,19944,20044
100,20000,20100
100,20145,20245
100,20200,20300
100,20346,20446
100,20400,20500
100,20547,20647
100,20600,20700
100,20748,20848
100,20800,20900
100,20949,21049
100,21000,21100
100,21150,21250
100,21200,21300
100,21351,21451
100,21400,21500
100,21552,21652
100,21600,21700
100,21753,21853
100,21800,21900
100,21954,22054
100,22000,22100
100,22155,22255
100,22200,22300
100,22356,22456
100,22400,22500
100,22557,22657
100,22600,22700
100,22758,22858
100,22800,22900
100,22959,23059
100,23000,23100
100,23160,23260
100,23200,23300
100,23361,23461
100,23400,23500
100,23562,23662
100,23600,23700
100,23763,23863
100,23800,23900
100,23964,24064
100,24000,24100
100,24165,24265
100,24200,24300
100,24366,24466
100,24400,24500
100,24567,24667
100,24600,24700
100,24768,24868
100,24800,24900
100,24969,25069
100,25000,25100
100,25170,25270
100,25200,25300
100,25371,25471
100,25400,25500
100,25572,25672
100,25600,25700
100,25773,25873
100,25800,25900
100,25974,26074
100,26000,26100
100,26175,26275
100,26200,26300
100,26376,26476
100,26400,26500
100,26577,26677
100,26600,26700
100,26778,26878
100,26800,26900
100,26979,27079
100,27000,27100
100,27180,27280
100,27200,27300
100,27381,27481
100,27400,27500
100,27582,27682
100,27600,27700
100,27783,27883
100,27800,27900
100,27984,28084
100,28000,28100
100,28185,28285
100,28200,28300
