FragmentLength,Start,End
101,119527828,119527929
101,119527829,119527930
101,119527829,119527930
101,119527829,119527930
100,119527830,119527930
100,119527831,119527931
100,119527831,119527931
100,119527835,119527935
100,119527836,119527936
100,119527837,119527937
101,119527837,119527938
101,119527838,119527939
100,119527838,119527938
101,119527839,119527940
100,119527839,119527939
100,119527839,119527939
100,119527840,119527940
100,119527840,119527940
100,119527843,119527943
100,119527844,119527944
100,119527844,119527944
100,119527844,119527944
100,119527851,119527951
101,119527853,119527954
100,119527856,119527956
100,119527856,119527956
100,119527856,119527956
100,119527856,119527956
100,119527861,119527961
101,119527863,119527964
100,119527864,119527964
100,119527864,119527964
100,119527865,119527965
100,119527866,119527966
101,119527867,119527968
100,119527868,119527968
100,119527868,119527968
100,119527869,119527969
101,119527870,119527971
101,119527871,119527972
100,119527871,119527971
101,119527873,119527974
101,119527874,119527975
101,119527876,119527977
100,119527876,119527976
100,119527877,119527977
100,119527878,119527978
101,119527879,119527980
101,119527882,119527983
100,119527883,119527983
100,119527885,119527985
100,119527887,119527987
100,119527887,119527987
100,119527887,119527987
100,119527887,119527987
100,119527889,119527989
100,119527890,119527990
101,119527891,119527992
100,119527891,119527991
100,119527891,119527991
100,119527892,119527992
100,119527894,119527994
100,119527894,119527994
101,119527895,119527996
101,119527896,119527997
100,119527899,119527999
100,119527901,119528001
100,119527903,119528003
101,119527903,119528004
100,119527908,119528008
100,119527908,119528008
100,119527909,119528009
100,119527909,119528009
100,119527910,119528010
101,119527912,119528013
101,119527914,119528015
100,119527915,119528015
100,119527917,119528017
100,119527917,119528017
101,119527920,119528021
101,119527920,119528021
100,119527920,119528020
100,119527921,119528021
101,119527922,119528023
100,119527922,119528022
100,119527922,119528022
100,119527924,119528024
100,119527925,119528025
100,119527930,119528030
100,119527931,119528031
100,119527931,119528031
100,119527933,119528033
100,119527934,119528034
100,119527934,119528034
100,119527934,119528034
100,119527934,119528034
101,119527938,119528039
100,119527939,119528039
101,119527942,119528043
101,119527943,119528044
100,119527943,119528043
101,119527946,119528047
100,119527946,119528046
100,119527946,119528046
100,119527946,119528046
101,119527950,119528051
100,119527950,119528050
100,119527951,119528051
100,119527956,119528056
100,119527956,119528056
101,119527957,119528058
100,119527957,119528057
100,119527957,119528057
100,119527959,119528059
101,119527961,119528062
99,119527964,119528063
100,119527965,119528065
100,119527965,119528065
100,119527967,119528067
100,119527968,119528068
100,119527970,119528070
101,119527972,119528073
101,119527972,119528073
101,119527974,119528075
100,119527975,119528075
100,119527975,119528075
100,119527983,119528083
100,119527987,119528087
100,119527988,119528088
101,119527989,119528090
100,119527989,119528089
101,119527990,119528091
100,119527990,119528090
100,119527990,119528090
100,119527990,119528090
101,119527991,119528092
100,119527991,119528091
100,119527994,119528094
100,119527995,119528095
101,119527996,119528097
100,119527996,119528096
100,119527997,119528097
100,119527998,119528098
100,119528001,119528101
100,119528001,119528101
100,119528004,119528104
101,119528005,119528106
100,119528005,119528105
100,119528005,119528105
100,119528005,119528105
100,119528006,119528106
100,119528006,119528106
100,119528007,119528107
100,119528007,119528107
100,119528008,119528108
100,119528009,119528109
100,119528009,119528109
100,119528012,119528112
100,119528012,119528112
101,119528014,119528115
100,119528018,119528118
100,119528019,119528119
101,119528020,119528121
100,119528022,119528122
100,119528022,119528122
100,119528022,119528122
100,119528023,119528123
100,119528025,119528125
100,119528025,119528125
101,119528029,119528130
100,119528029,119528129
100,119528029,119528129
100,119528032,119528132
100,119528041,119528141
101,119528042,119528143
100,119528042,119528142
101,119528044,119528145
100,119528044,119528144
100,119528045,119528145
100,119528045,119528145
100,119528046,119528146
100,119528047,119528147
100,119528047,119528147
100,119528049,119528149
100,119528049,119528149
100,119528055,119528155
100,119528058,119528158
101,119528060,119528161
100,119528060,119528160
100,119528066,119528166
101,119528067,119528168
100,119528070,119528170
101,119528071,119528172
100,119528079,119528179
101,119528082,119528183
100,119528086,119528186
100,119528092,119528192
101,119528100,119528201
100,119528103,119528203
100,119528106,119528206
100,119528107,119528207
100,119528108,119528208
100,119528108,119528208
100,119528112,119528212
100,119528117,119528217
100,119528117,119528217
100,119528121,119528221
100,119528122,119528222
100,119528126,119528226
100,119528126,119528226
101,119528128,119528229
100,119528130,119528230
100,119528130,119528230
100,119528131,119528231
100,119528134,119528234
100,119528135,119528235
100,119528136,119528236
100,119528136,119528236
100,119528140,119528240
100,119528140,119528240
100,119528141,119528241
100,119528141,119528241
100,119528141,119528241
100,119528147,119528247
100,119528147,119528247
100,119528149,119528249
100,119528151,119528251
101,119528154,119528255
100,119528158,119528258
101,119528158,119528259
100,119528168,119528268
100,119528170,119528270
100,119528185,119528285
100,119528186,119528286
101,119528186,119528287
101,119528188,119528289
100,119528194,119528294
100,119528196,119528296
100,119528199,119528299
101,119528200,119528301
100,119528200,119528300
101,119528201,119528302
100,119528201,119528301
100,119528202,119528302
101,119528208,119528309
100,119528208,119528308
100,119528212,119528312
100,119528212,119528312
100,119528213,119528313
100,119528213,119528313
100,119528214,119528314
100,119528217,119528317
100,119528219,119528319
100,119528220,119528320
100,119528221,119528321
101,119528223,119528324
101,119528224,119528325
101,119528230,119528331
100,119528231,119528331
100,119528234,119528334
101,119528235,119528336
100,119528237,119528337
100,119528241,119528341
100,119528241,119528341
100,119528241,119528341
101,119528245,119528346
100,119528246,119528346
100,119528247,119528347
100,119528250,119528350
100,119528250,119528350
101,119528254,119528355
100,119528259,119528359
100,119528263,119528363
100,119528267,119528367
100,119528270,119528370
100,119528270,119528370
100,119528276,119528376
101,119528283,119528384
100,119528284,119528384
100,119528289,119528389
100,119528296,119528396
101,119528305,119528406
100,119528308,119528408
100,119528310,119528410
100,119528320,119528420
100,119528328,119528428
100,119528334,119528434
100,119528335,119528435
100,119528343,119528443
100,119528353,119528453
100,119528353,119528453
100,119528353,119528453
100,119528356,119528456
101,119528363,119528464
100,119528366,119528466
100,119528373,119528473
100,119528375,119528475
58,119528375,119528433
71,119528379,119528450
100,119528379,119528479
43,119528379,119528422
100,119528383,119528483
58,119528387,119528445
100,119528388,119528488
100,119528389,119528489
100,119528394,119528494
101,119528403,119528504
101,119528403,119528504
99,119528404,119528503
100,119528404,119528504
100,119528405,119528505
100,119528413,119528513
102,119528414,119528516
100,119528416,119528516
101,119528426,119528527
100,119528426,119528526
101,119528431,119528532
100,119528431,119528531
100,119528432,119528532
101,119528433,119528534
52,119528433,119528485
100,119528434,119528534
100,119528434,119528534
101,119528437,119528538
100,119528438,119528538
99,119528438,119528537
100,119528440,119528540
100,119528442,119528542
101,119528445,119528546
100,119528446,119528546
101,119528448,119528549
101,119528449,119528550
100,119528451,119528551
101,119528453,119528554
100,119528454,119528554
101,119528455,119528556
101,119528455,119528556
100,119528461,119528561
100,119528461,119528561
100,119528462,119528562
100,119528462,119528562
100,119528462,119528562
101,119528463,119528564
100,119528467,119528567
100,119528468,119528568
100,119528470,119528570
100,119528472,119528572
100,119528473,119528573
101,119528475,119528576
100,119528479,119528579
100,119528482,119528582
100,119528482,119528582
100,119528482,119528582
100,119528482,119528582
100,119528482,119528582
100,119528483,119528583
100,119528483,119528583
100,119528483,119528583
101,119528484,119528585
100,119528485,119528585
100,119528485,119528585
100,119528488,119528588
100,119528490,119528590
101,119528492,119528593
100,119528492,119528592
101,119528496,119528597
100,119528496,119528596
101,119528497,119528598
100,119528497,119528597
101,119528498,119528599
100,119528498,119528598
100,119528499,119528599
101,119528500,119528601
100,119528500,119528600
100,119528502,119528602
101,119528504,119528605
101,119528506,119528607
101,119528507,119528608
100,119528507,119528607
100,119528516,119528616
101,119528517,119528618
101,119528518,119528619
101,119528518,119528619
100,119528518,119528618
100,119528519,119528619
101,119528520,119528621
101,119528520,119528621
100,119528520,119528620
100,119528521,119528621
100,119528521,119528621
101,119528522,119528623
101,119528530,119528631
101,119528531,119528632
100,119528532,119528632
73,119528532,119528605
101,119528533,119528634
100,119528537,119528637
100,119528538,119528638
101,119528539,119528640
100,119528540,119528640
100,119528541,119528641
100,119528542,119528642
100,119528542,119528642
100,119528542,119528642
101,119528546,119528647
100,119528546,119528646
100,119528550,119528650
101,119528553,119528654
101,119528554,119528655
100,119528558,119528658
101,119528559,119528660
101,119528559,119528660
100,119528560,119528660
100,119528563,119528663
100,119528567,119528667
101,119528569,119528670
100,119528579,119528679
100,119528589,119528689
100,119528590,119528690
100,119528594,119528694
100,119528601,119528701
100,119528606,119528706
100,119528606,119528706
100,119528619,119528719
100,119528620,119528720
100,119528623,119528723
100,119528625,119528725
100,119528628,119528728
100,119528628,119528728
100,119528629,119528729
100,119528630,119528730
100,119528632,119528732
100,119528636,119528736
100,119528648,119528748
100,119528651,119528751
100,119528669,119528769
100,119528669,119528769
101,119528672,119528773
100,119528676,119528776
101,119528677,119528778
100,119528679,119528779
100,119528680,119528780
100,119528680,119528780
100,119528692,119528792
100,119528694,119528794
100,119528695,119528795
100,119528696,119528796
101,119528704,119528805
100,119528705,119528805
100,119528705,119528805
100,119528705,119528805
100,119528706,119528806
100,119528707,119528807
101,119528708,119528809
100,119528710,119528810
101,119528715,119528816
100,119528715,119528815
100,119528723,119528823
100,119528726,119528826
100,119528729,119528829
100,119528732,119528832
100,119528733,119528833
100,119528733,119528833
100,119528745,119528845
101,119528750,119528851
100,119528752,119528852
100,119528757,119528857
100,119528765,119528865
101,119528767,119528868
100,119528775,119528875
100,119528775,119528875
100,119528775,119528875
100,119528776,119528876
100,119528776,119528876
100,119528787,119528887
100,119528789,119528889
100,119528813,119528913
100,119528820,119528920
100,119528824,119528924
100,119528825,119528925
100,119528826,119528926
100,119528828,119528928
100,119528829,119528929
100,119528831,119528931
100,119528834,119528934
101,119528838,119528939
100,119528843,119528943
100,119528854,119528954
100,119528857,119528957
100,119528865,119528965
100,119528869,119528969
100,119528876,119528976
101,119528883,119528984
101,119528883,119528984
100,119528886,119528986
101,119528887,119528988
100,119528889,119528989
100,119528894,119528994
100,119528898,119528998
100,119528900,119529000
101,119528902,119529003
100,119528903,119529003
100,119528904,119529004
100,119528909,119529009
100,119528913,119529013
101,119528915,119529016
100,119528915,119529015
100,119528915,119529015
100,119528916,119529016
101,119528917,119529018
100,119528917,119529017
100,119528919,119529019
100,119528920,119529020
101,119528922,119529023
100,119528922,119529022
100,119528923,119529023
100,119528923,119529023
100,119528923,119529023
100,119528923,119529023
100,119528923,119529023
100,119528926,119529026
100,119528927,119529027
101,119528928,119529029
101,119528928,119529029
100,119528930,119529030
100,119528932,119529032
100,119528938,119529038
100,119528938,119529038
100,119528941,119529041
100,119528944,119529044
101,119528945,119529046
100,119528946,119529046
100,119528948,119529048
60,119528948,119529008
101,119528951,119529052
100,119528954,119529054
100,119528954,119529054
101,119528955,119529056
100,119528958,119529058
100,119528959,119529059
100,119528959,119529059
100,119528960,119529060
100,119528960,119529060
101,119528962,119529063
101,119528962,119529063
100,119528963,119529063
100,119528964,119529064
100,119528965,119529065
100,119528970,119529070
101,119528971,119529072
100,119528972,119529072
100,119528978,119529078
100,119528979,119529079
100,119528983,119529083
100,119528984,119529084
100,119528984,119529084
100,119528984,119529084
100,119528987,119529087
100,119528989,119529089
100,119528993,119529093
101,119528993,119529094
100,119528996,119529096
100,119528997,119529097
100,119528997,119529097
101,119528999,119529100
101,119528999,119529100
100,119528999,119529099
100,119528999,119529099
100,119528999,119529099
101,119529001,119529102
101,119529002,119529103
100,119529004,119529104
100,119529005,119529105
101,119529006,119529107
100,119529006,119529106
101,119529008,119529109
100,119529010,119529110
100,119529014,119529114
100,119529014,119529114
101,119529015,119529116
101,119529016,119529117
100,119529018,119529118
100,119529023,119529123
101,119529025,119529126
100,119529025,119529125
100,119529027,119529127
100,119529028,119529128
100,119529030,119529130
100,119529030,119529130
101,119529032,119529133
101,119529034,119529135
100,119529034,119529134
100,119529044,119529144
100,119529045,119529145
100,119529047,119529147
100,119529050,119529150
100,119529050,119529150
101,119529055,119529156
100,119529060,119529160
100,119529064,119529164
101,119529065,119529166
100,119529066,119529166
100,119529067,119529167
101,119529072,119529173
100,119529073,119529173
100,119529079,119529179
95,119529082,119529177
100,119529085,119529185
100,119529086,119529186
100,119529087,119529187
100,119529087,119529187
101,119529090,119529191
100,119529090,119529190
100,119529092,119529192
100,119529092,119529192
100,119529097,119529197
100,119529103,119529203
100,119529103,119529203
101,119529106,119529207
100,119529106,119529206
100,119529107,119529207
100,119529110,119529210
